date,callsource,nature,street
12/1/2023,SELF,TRAFFIC STOP,E US 90A
12/1/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/1/2023,PHONE,ALARM BURGLAR,S SH 6
12/1/2023,PHONE,ACCIDENT MAJOR,S SH 6
12/1/2023,PHONE,MINOR ACCIDENT,S SH 6/S SOUTHWEST FWY
12/1/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,STADIUM DR
12/1/2023,PHONE,ALARM BURGLAR,S SH 6
12/1/2023,PHONE,DEATH INVESTIGATION,VILLAGE LIVING CT
12/1/2023,PHONE,ALARM BURGLAR,MORNING SHADOWS DR
12/1/2023,E911,911 HANG UP,E US 90A
12/1/2023,PHONE,ALARM BURGLAR,E US 90A
12/1/2023,PHONE,MINOR ACCIDENT,FOREST BEND/AZALEA BND
12/1/2023,PHONE,TRAFFIC HAZ PROB DIRECT RELAT,LEXINGTON BLVD
12/1/2023,PHONE,MINOR ACCIDENT,N SOUTHWEST FWY/RIVERBROOK DR
12/1/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,TUSCANY PLACE DR
12/1/2023,PHONE,PRISONER PROCESS,S SH 6
12/1/2023,SELF,TRAFFIC STOP,JESS PIRTLE BLVD
12/1/2023,SELF,DISABLED VEHICLE,W US 90A
12/1/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/1/2023,SELF,TRAFFIC STOP,E US 90A
12/1/2023,PHONE,ALARM BURGLAR,N SH 6
12/1/2023,SELF,TRAFFIC STOP,N US 59
12/1/2023,PHONE,ALARM BURGLAR,NEW TERRITORY BLVD
12/1/2023,SELF,TRAFFIC STOP,BROOKS ST
12/1/2023,SELF,TRAFFIC STOP,CENTURY SQUARE BLVD
12/1/2023,SELF,TRAFFIC STOP,S US 59 OFF RAMP
12/1/2023,W911,ACCIDENT MAJOR,ELDRIDGE RD
12/1/2023,PHONE,FRAUD,UNIVERSITY BLVD
12/1/2023,SELF,TRAFFIC STOP,E US 90A
12/1/2023,W911,911 HANG UP,E US 90A/SAVOY ST
12/1/2023,SELF,TRAFFIC STOP,N US 59
12/1/2023,PHONE,MINOR ACCIDENT,WILLIAMS TRACE BLVD/EDGEWATER DR
12/1/2023,SELF,TRAFFIC STOP,S US 59
12/1/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/1/2023,SELF,TRAFFIC STOP,SANSBURY BLVD
12/1/2023,PHONE,VIOLATION CITY ORDINANCE,E US 90A
12/1/2023,SELF,FLAGDOWN,W BELLFORT AVE/BARRINGTON PLACE DR
12/1/2023,PHONE,PROPERTY LOST RECOVERED,THE HIGHLANDS DR
12/1/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,BURNEY RD
12/1/2023,PHONE,911 HANG UP,WILKINS CROSSING
